name,genre,rating,year,duration,plot,cast,budget,worldwide_gross,type
Borat Subsequent Moviefilm,Comedy,6.9,23-Oct-20,95,Follow-up film to the 2006 comedy centering on the real-life adventures of a fictional Kazakh television journalist named Borat.,"Sacha Baron Cohen(Borat Sagdiyev), Maria Bakalova(Tutar Sagdiyev), Tom Hanks(Tom Hanks), Dani Popescu(Premier Nazarbayev), Manuel Vieru(Dr. Yamak)",NA,NA,trending
Rebecca,"Drama, Mystery, Romance, Thriller",6,21-Oct-20,121,"After a whirlwind romance in Monte Carlo with handsome widower Maxim de Winter (Armie Hammer), a newly married young woman (Lily James) arrives at Manderley, her new husband's imposing family estate on a windswept English coast. Naive and inexperienced, she begins to settle into the trappings of her new life, but finds herself battling the shadow of Maxim's first wife, the elegant and urbane Rebecca, whose haunting legacy is kept alive by Manderley's sinister housekeeper Mrs. Danvers (Kristin Scott Thomas).","Lily James(Mrs. de Winter), Jacques Bouanich(Taxi Driver), Marie Collins(Guest with Dog), Ann Dowd(Mrs. Van Hopper), Kristin Scott Thomas(Mrs. Danvers)",NA,NA,trending
The Witches,"Adventure, Comedy, Family, Fantasy, Horror, Mystery",5.4,22-Oct-20,106,"Reimagining Roald Dahl's beloved story for a modern audience, Robert Zemeckis's visually innovative film tells the darkly humorous and heartwarming tale of a young orphaned boy who, in late 1967, goes to live with his loving Grandma in the rural Alabama town of Demopolis. As the boy and his grandmother encounter some deceptively glamorous but thoroughly diabolical witches, she wisely whisks him away to a seaside resort. Regrettably, they arrive at precisely the same time that the world's Grand High Witch has gathered her fellow cronies from around the globe-undercover-to carry out her nefarious plans. Zemeckis is joined by a world-class team of filmmakers, including Alfonso Cuarón, Guillermo del Toro and Kenya Barris. The cast includes powerhouse performances from Anne Hathaway, Octavia Spencer, Stanley Tucci, Kristin Chenoweth and Chris Rock, with newcomer Jahzir Kadeen Bruno as the brave young hero.","Chris Rock(Older Hero Mouse), Jahzir Bruno(Hero Boy), Octavia Spencer(Grandma), Brian Bovell(Reginald), Joseph Zinyemba(Basketball Kid)",NA,NA,trending
The Trial of the Chicago 7,"Drama, History, Thriller",7.9,16-Oct-20,129,"In Chicago 1968, the Democratic Party Convention was met with protests from activists like the moderate Students for a Democratic Society led by Tom Hayden and the militant Yippies led by Abbie Hoffman and Jerry Rubin, which led to violent confrontations with the local authorities. As a result, seven of the accused ringleaders are arraigned on charges like Conspiracy by the hostile Nixon administration, including Bobby Seale of the Black Panthers who was not involved in the incident. What follows is an unfair trial presided by the belligerent Judge Hoffman (No relation) and prosecuted by a reluctant but duty-bound Richard Schultz. As their pro bono lawyers face such odds, Hayden and his fellows are frustrated by the Yippies' outrageous antics undermining their defense in defiance of the system even while Seale is denied a chance to defend himself his way. Along the way, the Chicago 7 clash in their political philosophies even as they learn they need each other in this fight.","Eddie Redmayne(Tom Hayden), Alex Sharp(Rennie Davis), Sacha Baron Cohen(Abbie Hoffman), Jeremy Strong(Jerry Rubin), John Carroll Lynch(David Dellinger)",NA,NA,trending
Holidate,"Comedy, Romance",6.1,28-Oct-20,103,"Sloane and Jackson hate being single on holidays where they face constant judgment from their meddling families. So, when these two strangers meet, they pledge to be each other's ""holidate"" for every festive occasion in the year ahead.","Emma Roberts(Sloane), Luke Bracey(Jackson), Kristin Chenoweth(Aunt Susan), Frances Fisher(Elaine), Andrew Bachelor(Neil)",NA,NA,trending
Hocus Pocus,"Comedy, Family, Fantasy",6.9,16-Jul-93,96,"300 years have passed since the Sanderson sisters were executed for practicing dark witchcraft. Returning to life thanks to a combination of a spell spoken before their demise and the accidental actions of Max, the new-kid-in-town, the sisters have but one night to secure their continuing existence...","Bette Midler(Winifred), Sarah Jessica Parker(Sarah), Kathy Najimy(Mary), Omri Katz(Max), Thora Birch(Dani)","$28,000,000 (estimated)",NA,trending
After We Collided,"Drama, Romance",5.1,02-Sep-20,105,"Tessa has everything to lose. Hardin has nothing to lose. - except her. After We Collided - Life will never be the same. After a tumultuous beginning to their relationship, Tessa and Hardin were on the path to making things work. Tessa knew Hardin could be cruel, but when a bombshell revelation is dropped about the origins of their relationship - and Hardin's mysterious past - Tessa is beside herself. Hardin will always be - Hardin. But is he really the deep, thoughtful guy Tessa fell madly in love with despite his angry exterior - or has he been a stranger all along? She wishes she could walk away. It's just not that easy. Hardin knows he made a mistake, possibly the biggest one of his life. He's not going down without a fight. But can he change? Will he change - for love? Yes, yes he will.","Josephine Langford(Tessa), Hero Fiennes Tiffin(Hardin), Dylan Sprouse(Trevor), Louise Lombard(Trish), Shane Paul McGhie(Landon)",NA,NA,trending
Hubie Halloween,"Comedy, Fantasy, Mystery",5.2,07-Oct-20,102,"Good-natured but eccentric community volunteer Hubie Dubois finds himself at the center of a real murder case on Halloween night. Despite his devotion to his hometown of Salem, Massachusetts (and its legendary Halloween celebration), Hubie is a figure of mockery for kids and adults alike.","Adam Sandler(Hubie Dubois), Kevin James(Sgt. Steve Downey), Julie Bowen(Violet Valentine), Ray Liotta(Mr. Landolfa), Steve Buscemi(Walter Lambert)",NA,NA,trending
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Comedy,7.3,30-Mar-07,84,"Borat Sagdiyev is a TV reporter of a popular show in Kazakhstan as Kazakhstan's sixth most famous man and a leading journalist. He is sent from his home to America by his government to make a documentary about American society and culture. Borat takes a course in New York City to understand American humor. While watching Baywatch on TV, Borat discovers how beautiful their women are in the form of C. J. Parker, who was played by actress Pamela Anderson who hails from Malibu, California. He decides to go on a cross-country road trip to California in a quest to make her his wife and take her back to his country. On his journey Borat and his producer encounter a country full of strange and wonderful Americans, real people in real chaotic situations with hysterical consequences.","Sacha Baron Cohen(Borat), Ken Davitian(Azamat), Luenell(Luenell), Chester(Bear), Charlie(Bear)","$18,000,000 (estimated)","$261,572,744, 01 Feb 2009",trending
Over the Moon,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Sci-Fi",6.6,23-Oct-20,95,"In this animated musical, a girl builds a rocket ship and blasts off, hoping to meet a mythical moon goddess.","Glen Keane(Space Dog / Rail Worker #3), Brycen Hall(Young Fei Fei), Ruthie Ann Miles(Mother), John Cho(Father), Cathy Ang(Fei Fei)",NA,NA,trending
